Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.8684064515234885,0.011902692987822896,0.4097993091225501,0.28895272352858625,23.092319216326768,0.6708802354208854
2,1.0035221161365018,0.0036239738818796274,0.474494152086315,0.4798987351211847,29.12811175017773,0.8188179103060962
3,0.9999513614411447,0.0026722471754502034,0.5131053942521905,0.5129372246986326,28.946938968115266,0.8474654756294697
4,0.9997434069866735,0.00245806551326962,0.4554123952600363,0.4551547701575316,31.016030637971994,0.8516430481408905
5,1.0007095955719765,0.0024378155315365985,0.4628105088776233,0.4637880002135955,30.442265367754146,0.8530235021328016
6,1.0002656216714896,0.00225103326402297,0.535377372061628,0.5357470281352937,31.29802670937658,0.8605307703961709
7,1.000160950096276,0.0022481285251381013,0.5103022907909595,0.5104773339226273,28.380615348878372,0.8513109498882886
8,1.0000971111350754,0.002195815338683002,0.5186949971413588,0.5189133727636622,31.42233068211951,0.8667652709566606
9,0.9999959870880726,0.0022172517605967843,0.5013603336424773,0.5016179037660022,31.456810452741678,0.8638503972470708
10,0.9999129130252251,0.00221717695766143,0.4788323856728734,0.47894201629917194,30.35009279052214,0.8622914059244645
11,0.9998569069262998,0.002233233881087818,0.42287011043821204,0.4228813436255243,31.602721830131223,0.8654779500948611
12,0.999766700654084,0.0021983635063755054,0.4420672884481979,0.4420624857839539,30.577052827090082,0.8673100309130779
13,0.9998486124202071,0.00213559274018672,0.5208488874637183,0.5211454491989286,31.84040424485387,0.8645051372400299
14,0.9997169090129273,0.0021686418662453214,0.4696155354519008,0.4696766545775013,31.150301336333413,0.8629310973576984
15,0.9998849260917758,0.002213121820154712,0.39291453901582213,0.3929575729911418,30.841554927446477,0.8643273521337027
16,0.9999783518267613,0.0021451213937714094,0.4255832982383153,0.42577803207501785,31.135405819204117,0.8652484044102091
17,0.9999830439117794,0.002137997960724644,0.44803845093838324,0.4482537023177211,28.59365180984578,0.8558463607092505
18,1.000025060917448,0.002156245283459547,0.4135009475290714,0.41376977258422426,31.154136838913548,0.8664772842135594
19,0.9996477322189677,0.002200670611743803,0.4033643116707403,0.40335936833584396,31.76949104194053,0.866870339665671
20,0.9999597340791464,0.0022703365850482438,0.2727581745904125,0.2730486131376399,32.192665468803796,0.8696417504956263
21,1.0,0.002566904620910438,5.855060533615338e-17,6.018785765716742e-17,32.17170628200097,0.8684996158122593
22,1.0,0.057541186247170896,1.0825106616535052e-24,1.0490245219230371e-18,13.35912081546945,0.313938397772035
23,1.0,0.052876966570430006,6.417220151486001e-25,7.261238839890965e-24,13.559384664948908,0.32308109222308873
24,1.0,0.052323654525451,8.535319994005675e-25,2.394969243405747e-23,13.599817683579738,0.3260268648853319
25,1.0,0.05347364032939,1.544740708642883e-24,2.2457925275843306e-23,13.531672489850841,0.3215194135877868
26,1.0,0.052711382273765296,6.103258750514421e-25,7.478971185396406e-24,13.494241671616244,0.3205575276738051
27,1.0,0.05149242418392401,7.353845596624516e-25,1.2315149547622539e-23,13.611008621988876,0.32781221018814893
28,1.0,0.05330719935205084,9.035091946757577e-25,1.8740123968091082e-23,13.424694801313088,0.31649715986892835
29,1.0,0.051686814436602516,8.625100123573241e-25,6.88835236746319e-24,13.622113597422674,0.32725072279903034
30,1.0,0.053898737211284006,9.887303872653942e-25,8.688319304172868e-24,13.496454485050473,0.32023107228071795
31,1.0,0.05214979962990749,1.1296610486986743e-24,3.44634719800552e-23,13.604715010331038,0.3265011241294265
32,1.0,0.052445402313927254,1.0608756699568107e-24,1.9234776856955485e-23,12.659869599667427,0.2916601772792803
33,1.0,0.05249599101035342,8.199819778734614e-25,1.0508961140215128e-23,13.617409813886464,0.32649686993384847
34,1.0,0.051228103943561254,7.936467926852013e-25,6.711871848746253e-24,13.010765050813822,0.3037010704058932
35,1.0,0.05289280960111426,8.935596219161349e-25,7.95224359059917e-24,13.612428719729513,0.32581947002140105
36,1.0,0.05122882227641141,7.233314302958006e-25,4.736095362301303e-23,13.632662370613577,0.3271315388163319
37,1.0,0.051514175122890186,8.256135228090429e-25,1.8633806271329597e-23,13.52766977273896,0.3211531028508505
38,1.0,0.042164229350577814,6.678156968827731e-25,4.663348115978653e-19,23.4003920671201,0.6321941608068894
39,1.0,0.00650693591774448,7.6035127481521685e-25,3.8636405214107364e-25,25.304665651273623,0.6962833656287342
40,1.0,0.004606944553638637,9.941393642825039e-25,1.1865123175361825e-24,26.967750757751432,0.7379716334876066
41,1.0,0.0039793667469031424,9.502112644018616e-25,9.884205830930528e-25,29.580433122570398,0.7869062265571283
42,1.0,0.0041043556639415255,6.086915626168777e-25,7.888391520931102e-25,29.438990910173494,0.7886027087653329
43,1.0,0.0038118124664621765,7.671664509780439e-25,1.1111863954083137e-24,28.541936959262458,0.7975931722396438
44,1.0,0.0033037814774461113,8.426687205403665e-25,1.367617500182836e-24,30.506497486717606,0.8253114428156334
45,1.0,0.0031869166827173394,1.0244444097948097e-24,1.594715740533381e-24,30.43610487483075,0.8277429805038878
46,1.0,0.003645984137669144,9.151969990954305e-25,1.064073167174309e-24,30.118022103258234,0.8242168771871552
47,1.0,0.003113266594431164,1.0528126460544106e-24,1.531952586859885e-24,30.97254767025875,0.8450527148322924
48,1.0,0.0029737604031833302,8.363431348620915e-25,1.5101317664272465e-24,31.06707242497925,0.8486414169884405
49,1.0,0.002908612101389743,7.913868638773067e-25,1.0300482411392913e-24,30.88359773758667,0.8490823072570557
50,1.0,0.0028386014662164006,8.463941712759202e-25,1.0135619978192863e-24,30.960386844426026,0.8510010642294558
51,1.0,0.0028279634556849366,9.511743054619775e-25,1.092712054339871e-24,31.29685762714811,0.8572573321735107
52,1.0,0.0027963880201084665,8.841361657227374e-25,1.224503691226872e-24,31.363812968949397,0.8591836465600325
53,1.0,0.002756136578293392,7.605709519333419e-25,9.994490731315788e-25,31.480118648100373,0.8625549099671703
54,1.0,0.0027209108366685756,8.259663649362305e-25,8.583109461628982e-25,31.40423487863375,0.8591116371679433
55,1.0,0.0027252750177613016,9.209870598739633e-25,1.1575122011814597e-24,31.591012311203798,0.8644435974275949
56,1.0,0.0027023848849737978,6.572943704473386e-25,6.648685483790702e-25,31.601491178711587,0.8666871521678136
57,1.0,0.002680803319896784,6.022144340761178e-25,9.056203873628665e-25,31.39530126441532,0.8654649381946439
58,1.0,0.002693155574803582,7.418790332249802e-25,1.2783311125569207e-24,31.638028275318767,0.8659649906480006
59,1.0,0.002685212627028272,8.479629471490988e-25,9.745801953763867e-25,31.469917663675574,0.86874308296295
60,1.0,0.00665615623916804,1.0855729993926904e-24,1.2234638383432093e-24,27.6562981519028,0.7919733287913671
61,1.0,0.0032887977347070096,9.116981567877879e-25,1.673862647130731e-24,30.823995077787547,0.840207115728028
62,1.0,0.0028887590310287398,7.836740850127717e-25,1.2713785859125392e-24,31.330823542819,0.8561831833836032
63,1.0,0.002723852806014342,8.007872606358769e-25,1.1329467506313244e-24,31.426269731807793,0.8611985792495978
64,1.0,0.0026871544275321336,7.260184405533928e-25,9.114935620478072e-25,31.395213988489957,0.8647348742730446
65,1.0,0.0026717452438580883,1.0466947901449858e-24,1.3211705235794084e-24,31.627525780339898,0.8651978135003172
66,1.0,0.002644456890378036,7.69786545793563e-25,9.783917305841586e-25,31.526754387394664,0.8642885092093866
67,1.0,0.002615602642068999,9.604222486025075e-25,1.1352317375038167e-24,30.97709032519759,0.8629300631351352
68,1.0,0.0026287522700868,9.651979126968316e-25,9.86935486715142e-25,31.618048410086345,0.8637326213249403
69,1.0,0.0031079258466518117,8.265684051136173e-25,1.239725344535747e-24,31.37295992502084,0.8626744092409867
